,TimeStamp,AI0_Vibration,AI1_Vibration,AI2_Current,Equipment_state
0,51:07.9,0.29372695,-0.54055375,21.457675,1
1,51:08.0,1.0703204,-0.55738194,-44.107442,1
2,51:08.1,0.90869242,0.063108272,25.033954,1
3,51:08.2,0.23592147,0.50932143,-101.32791,1
4,51:16.7,0.31553783,0.20531456,34.570698,1
5,51:16.8,-0.30299289,0.30915396,70.333489,1
6,51:16.9,-0.20851951,0.24723456,151.39582,1
7,51:17.0,-0.10328419,0.25261634,147.81954,1
8,51:17.1,-0.00300488,0.26231512,110.86465,1
9,51:17.2,-0.034705724,0.16326723,32.186512,1
10,51:17.3,0.10219733,0.18943541,185.96651,1
11,51:17.4,-0.25183223,0.061985622,-107.28837,1
12,51:17.5,-0.72065593,0.18661143,103.71209,1
13,51:17.6,-1.0084029,0.18383373,-59.604652,1
14,51:17.7,-0.55159947,-0.03054626,-98.943722,1
15,51:17.8,0.05619137,-0.41095125,-58.412559,1
16,51:17.9,0.77666812,-0.63460179,-41.723256,1
17,51:18.0,1.0141485,-0.27726322,-4.7683722,1
18,51:18.1,0.66565997,0.22642502,19.073489,1
19,51:18.2,0.14287199,0.35294891,-10.728837,1
20,51:18.3,-0.35207842,0.27173613,20.265582,1
21,51:18.4,-0.78304213,0.2774304,11.92093,1
22,51:18.5,-0.7427538,0.2534728,-183.58233,1
23,51:18.6,-0.38071073,-0.2854227,-141.85907,1
24,51:18.7,0.44957103,-0.61829442,-84.638606,1
25,51:18.8,0.97580285,-0.31235474,-54.83628,1
26,51:18.9,0.45143644,0.37491583,-183.58233,1
27,51:19.0,0.51206762,-0.44267481,181.19814,1
28,51:19.1,-0.29843423,-0.03294202,87.022792,1
29,51:19.2,-0.22486664,-0.05416822,25.033954,1
30,51:19.3,-0.15277812,-0.070301984,76.293954,1
31,51:19.4,-0.17111207,0.029069965,125.16977,1
32,51:19.5,0.088731095,0.21633274,95.367443,1
33,51:19.6,-0.027553166,0.26119247,128.74605,1
34,51:19.7,0.020693488,0.26979174,72.717675,1
35,51:19.8,0.015770585,0.27914331,95.367443,1
36,51:19.9,0.039844242,0.25953743,27.41814,1
37,51:20.0,0.071567162,0.21963125,90.599071,1
38,51:20.1,0.063531572,0.24368143,47.683722,1
39,51:20.2,0.083741964,-0.17587745,69.141396,1
40,51:20.3,0.11077378,-0.18301843,72.717675,1
41,51:20.4,0.040837653,-0.097257176,119.2093,1
42,51:20.5,0.14821433,-0.16974338,60.796745,1
43,51:20.6,0.1271761,-0.17331966,-7.1525582,1
44,51:20.7,0.10451529,-0.13157325,135.89861,1
