,TimeStamp,AI0_Vibration,AI1_Vibration,AI2_Current,Equipment_state
0,00:00.0,0.116967,-0.176403,192.33873,0
1,00:00.1,0.03008,-0.210895,217.00433,0
2,00:00.2,-0.045794,-0.029424,197.51062,0
3,00:00.3,0.047519,0.258642,156.60717,0
4,00:00.4,0.020351,0.173777,93.236934,0
5,00:00.5,-0.039129,-0.124644,23.663881,0
6,00:00.6,0.006727,-0.139971,-49.305445,0
7,00:00.7,0.000142,-0.083375,-118.64366,0
8,00:00.8,-0.10298,0.016477,-175.70963,0
9,00:00.9,0.00172,0.215761,-213.79593,0
10,00:01.0,0.110246,0.098777,-206.08881,0
11,00:01.1,-0.087199,-0.223065,-171.62802,0
12,00:01.2,-0.070521,-0.21144,-115.67391,0
13,00:01.3,-0.024177,0.017919,-46.253448,0
14,00:01.4,-0.111733,0.139955,25.225046,0
15,00:01.5,0.037301,0.197857,99.004638,0
16,00:01.6,0.06968,0.018351,159.9287,0
17,00:01.7,-0.054172,-0.226471,208.76339,0
18,00:01.8,-0.03628,-0.150756,217.32595,0
19,00:01.9,-0.067944,0.060755,188.27095,0
20,00:02.0,-0.064345,0.166329,138.87979,0
21,00:02.1,-0.013789,0.15946,69.887766,0
22,00:02.2,-0.035508,-0.05028,-1.156211,0
23,00:02.3,-0.010088,-0.2669,-76.082358,0
24,00:02.4,-0.062642,-0.129844,-141.2641,0
25,00:02.5,-0.006443,0.17674,-195.12775,0
26,00:02.6,0.072439,0.266851,-219.31734,0
27,00:02.7,-0.085008,0.015501,-199.54994,0
28,00:02.8,-0.056182,-0.168354,-157.70175,0
29,00:02.9,-0.015617,-0.147157,-93.02808,0
30,00:03.0,-0.128888,-0.035759,-22.295597,0
31,00:03.1,0.087891,0.191079,52.171356,0
32,00:03.2,0.19158,0.14998,122.96428,0
33,00:03.3,-0.007227,-0.135713,181.12554,0
34,00:03.4,0.043114,-0.195659,219.93151,0
35,00:03.5,0.018841,-0.08686,212.35695,0
36,00:03.6,-0.111597,0.091329,176.50463,0
37,00:03.7,0.034531,0.275627,118.0221,0
38,00:03.8,0.066967,0.096949,45.694237,0
39,00:03.9,-0.04576,-0.203526,-28.200987,0
40,00:04.0,0.041683,-0.178515,-103.07421,0
41,00:07.2,0.053575,0.159723,28.972868,0
42,00:07.3,0.098341,0.19796,-46.821004,0
43,00:07.4,-0.011195,-0.05675,-120.2773,0
44,00:07.5,0.082469,-0.116275,-166.03996,0
45,00:07.6,-0.050659,-0.141934,-213.14469,0
46,00:07.7,-0.1161,-0.018944,-207.42025,0
47,00:07.8,0.046536,0.244895,-168.09084,0
48,00:07.9,0.014611,0.107691,-118.82903,0
49,00:08.0,0.014588,-0.113948,-50.999647,0
50,00:08.1,0.024068,-0.133986,19.517901,0
51,00:08.2,-0.04504,-0.117365,100.21068,0
52,00:08.3,0.018289,0.100197,150.56195,0
53,00:08.4,0.002338,0.185347,199.9928,0
54,00:08.5,0.05303,-0.002062,217.53814,0
55,00:08.6,0.108161,-0.079672,181.39746,0
56,00:08.7,-0.103759,-0.14878,139.09234,0
57,00:08.8,-0.053986,-0.025517,75.148353,0
58,00:08.9,0.041461,0.219861,9.004713,0
59,00:09.0,-0.06677,0.098767,-71.201691,0
60,00:09.1,0.097296,-0.064118,-131.33849,0
61,00:09.2,0.080596,-0.149404,-177.07255,0
62,00:09.3,-0.110116,-0.180546,-216.01834,0
63,00:09.4,0.052792,0.107952,-191.47971,0
64,00:09.5,0.053178,0.230715,-153.05819,0
65,00:09.6,-0.085684,0.021156,-98.175776,0
66,00:09.7,0.052689,-0.0716,-33.267502,0
67,00:09.8,-0.022776,-0.142013,40.96127,0
68,00:09.9,-0.136729,-0.101607,113.25647,0
69,00:10.0,0.092687,0.175413,156.39796,0
70,00:10.1,0.092108,0.14133,206.93245,0
71,00:10.2,0.020594,-0.096521,203.8702,0
72,00:10.3,0.090042,-0.09324,165.57028,0
73,00:10.4,-0.090532,-0.089584,120.3834,0
74,00:10.5,-0.135434,0.022802,56.760676,0
75,00:10.6,0.002394,0.209995,-9.568335,0
76,00:10.7,0.004733,0.078535,-87.835918,0
77,00:10.8,0.093459,-0.106398,-134.96579,0
78,00:15.3,0.052827,0.028705,-109.87891,0
79,00:15.4,-0.012976,0.009166,-97.007763,0
80,00:15.5,-0.056505,-0.062371,-77.23535,0
81,00:15.6,-0.027418,0.046473,-42.368775,0
82,00:15.7,-0.017291,0.083326,-2.476454,0
83,00:15.8,0.013568,-0.070079,43.260699,0
84,00:15.9,0.050375,-0.035543,93.215596,0
85,00:16.0,-0.00814,0.028365,105.70873,0
86,00:16.1,-0.044062,-0.067593,110.77358,0
87,00:16.2,-0.021593,-0.054503,104.4916,0
88,00:16.3,-0.086432,0.053138,85.335265,0
89,00:16.4,0.012194,0.053524,56.259639,0
90,00:16.5,0.034991,-0.037654,14.272215,0
91,00:16.6,-0.083253,-0.093092,-26.459339,0
92,00:16.7,0.029315,0.020156,-79.973946,0
93,00:16.8,0.007074,0.08579,-103.85169,0
94,00:16.9,-0.032231,-0.033817,-107.62216,0
95,00:17.0,0.027805,-0.032341,-107.64517,0
96,00:17.1,-0.072093,-0.003368,-90.073477,0
97,00:17.2,-0.026237,-0.065935,-67.014225,0
98,00:17.3,0.04203,-0.016254,-26.738408,0
99,00:17.4,-0.028008,0.022541,12.280942,0
100,00:17.5,0.012773,-0.008579,63.815482,0
101,00:17.6,-0.027259,-0.000177,102.46671,0
102,00:23.3,-0.037767,-0.004662,200.49086,0
103,00:23.4,0.033736,0.176457,204.71635,0
104,00:23.5,0.021043,0.127513,175.57325,0
105,00:23.6,0.015287,-0.086576,128.48319,0
106,00:23.7,0.035984,-0.140311,63.394792,0
107,00:23.8,-0.051357,-0.065845,-3.929377,0
108,00:23.9,0.046849,0.111925,-77.562937,0
109,00:24.0,0.108361,0.21348,-138.60585,0
110,00:24.1,0.008509,0.029137,-190.7182,0
111,00:24.2,0.098007,-0.148429,-211.22303,0
112,00:32.8,-0.043644,-0.027867,58.613784,0
113,00:32.9,-0.01316,-0.066775,17.58981,0
114,00:33.0,-0.009346,0.035722,-22.138717,0
115,00:33.1,0.036135,-0.032749,-76.5133,0
116,00:33.2,0.066823,-0.014289,-104.15877,0
117,00:33.3,-0.020881,0.026322,-108.13714,0
118,00:33.4,-0.062173,-0.086382,-108.30737,0
119,00:33.5,-0.036469,0.01976,-91.560375,0
120,00:33.6,-0.033085,0.072813,-69.346317,0
121,00:33.7,0.047659,-0.044216,-30.608896,0
122,00:33.8,0.065881,-0.030637,7.634641,0
123,00:33.9,-0.034675,-0.041253,58.809645,0
124,00:34.0,-0.01584,-0.004673,101.09378,0
125,00:34.1,-0.029872,0.006726,107.80622,0
126,00:34.2,-0.083278,-0.019273,111.29559,0
127,00:34.3,0.022716,0.10408,99.122298,0
128,00:34.4,0.011624,0.03268,79.534421,0
129,00:34.5,-0.028056,-0.093955,45.624619,0
130,00:34.6,0.008036,0.049948,5.942226,0
131,00:34.7,-0.030781,0.060098,-38.492684,0
132,00:34.8,0.013111,-0.073178,-90.70171,0
133,00:34.9,0.001088,-0.021998,-105.96777,0
134,00:35.0,-0.049094,-0.001437,-110.00527,0
135,00:35.1,-0.002874,-0.020624,-104.38098,0
136,00:35.2,-0.008982,0.04527,-85.868369,0
137,00:35.3,-0.00024,0.005614,-58.43497,0
138,00:35.4,0.016165,-0.038471,-17.731669,0
139,00:35.5,-0.046233,-0.023076,21.420362,0
140,00:35.6,-0.066578,-0.06371,76.268324,0
141,00:35.7,-0.030713,-0.012892,105.09123,0
142,00:35.8,0.009841,0.047711,108.90807,0
143,00:35.9,0.051235,-0.008692,109.5704,0
144,00:36.0,0.033876,0.017864,93.602907,0
145,00:36.1,-0.012298,-0.007182,71.555861,0
146,00:36.2,-0.042316,-0.067331,32.342199,0
147,00:36.3,-0.045313,0.042568,-5.83613,0
148,00:36.4,-0.013024,-0.00163,-56.937224,0
149,00:36.5,0.067187,-0.095669,-99.654329,0
150,00:36.6,0.065279,0.030806,-106.13002,0
151,00:36.7,-0.010106,0.041115,-110.31391,0
152,00:36.8,0.026281,0.003059,-98.714125,0
153,00:36.9,-0.016703,0.079432,-79.239974,0
154,00:37.0,-0.043485,0.033315,-45.080906,0
155,00:37.1,0.042323,0.007759,-5.251766,0
156,00:37.2,0.012407,0.007294,38.985257,0
